Časť:,Číslo:,"Začiatok:, Dátum: ","Začiatok:, Čas: ","Koniec:, Dátum: ","Koniec:, Čas: ",Viditeľnosť,Viditeľnosť vzorákov,Výsledky sú finálne
"1. (Zimná) časť, 9. ročník FKS",1,1.9.1993,0:00:00,1.10.1993,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 9. ročník FKS",2,6.10.1993,0:00:00,5.11.1993,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 9. ročník FKS",3,27.10.1993,0:00:00,26.11.1993,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 9. ročník FKS",1,14.2.1994,0:00:00,16.3.1994,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 9. ročník FKS",2,23.3.1994,0:00:00,22.4.1994,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 9. ročník FKS",3,10.4.1994,0:00:00,10.5.1994,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 10. ročník FKS",1,31.8.1994,0:00:00,30.9.1994,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 10. ročník FKS",2,5.10.1994,0:00:00,4.11.1994,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 10. ročník FKS",3,26.10.1994,0:00:00,25.11.1994,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 10. ročník FKS",1,14.2.1995,0:00:00,16.3.1995,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 10. ročník FKS",2,23.3.1995,0:00:00,22.4.1995,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 10. ročník FKS",3,10.4.1995,0:00:00,10.5.1995,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 11. ročník FKS",1,6.9.1995,0:00:00,6.10.1995,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 11. ročník FKS",2,11.10.1995,0:00:00,10.11.1995,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 11. ročník FKS",3,8.11.1995,0:00:00,8.12.1995,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 11. ročník FKS",1,7.2.1996,0:00:00,8.3.1996,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 11. ročník FKS",2,13.3.1996,0:00:00,12.4.1996,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 11. ročník FKS",3,10.4.1996,0:00:00,10.5.1996,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 12. ročník FKS",1,12.9.1996,0:00:00,12.10.1996,23:59:59,TRUE,TRUE,TRUE
