Časť:,Číslo:,"Začiatok:, Dátum: ","Začiatok:, Čas: ","Koniec:, Dátum: ","Koniec:, Čas: ",Viditeľnosť,Viditeľnosť vzorákov,Výsledky sú finálne
"1. (Zimná) časť, 24. ročník KMS",1,1.9.2002,0:00:00,1.10.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník KMS",2,1.9.2002,0:00:00,1.11.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník KMS",3,1.9.2002,0:00:00,1.12.2002,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník KMS",1,1.1.2003,0:00:00,1.3.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník KMS",2,1.1.2003,0:00:00,1.4.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník KMS",3,1.1.2003,0:00:00,1.5.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník KMS",1,1.9.2003,0:00:00,1.10.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník KMS",2,1.9.2003,0:00:00,1.11.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník KMS",3,1.9.2003,0:00:00,1.12.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník KMS",1,1.1.2004,0:00:00,1.3.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník KMS",2,1.1.2004,0:00:00,1.4.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník KMS",3,1.1.2004,0:00:00,1.5.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník KMS",1,1.9.2004,0:00:00,1.10.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník KMS",2,1.9.2004,0:00:00,1.11.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník KMS",3,1.9.2004,0:00:00,1.12.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník KMS",1,1.1.2005,0:00:00,1.3.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník KMS",2,1.1.2005,0:00:00,1.4.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník KMS",3,1.1.2005,0:00:00,1.5.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník KMS",1,1.9.2005,0:00:00,1.10.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník KMS",2,1.9.2005,0:00:00,1.11.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník KMS",3,1.9.2005,0:00:00,1.12.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník KMS",1,1.1.2006,0:00:00,1.3.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník KMS",2,1.1.2006,0:00:00,1.4.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník KMS",3,1.1.2006,0:00:00,1.5.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník KMS",1,1.9.2006,0:00:00,1.10.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník KMS",2,1.9.2006,0:00:00,1.11.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník KMS",3,1.9.2006,0:00:00,1.12.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník KMS",1,1.1.2007,0:00:00,1.3.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník KMS",2,1.1.2007,0:00:00,1.4.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník KMS",3,1.1.2007,0:00:00,1.5.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník KMS",1,1.9.2007,0:00:00,1.10.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník KMS",2,1.9.2007,0:00:00,1.11.2007,23:59:59,TRUE,TRUE,TRUE
